distrito,nn
ATE,71
SAN JUAN DE LURIGANCHO,60
LA VICTORIA,53
SAN MARTIN DE PORRES,50
LIMA,47
CARABAYLLO,42
VILLA EL SALVADOR,41
PUENTE PIEDRA,37
VILLA MARIA DEL TRIUNFO,34
MIRAFLORES,33
SANTIAGO DE SURCO,33
COMAS,31
LOS OLIVOS,31
LURIGANCHO,31
CHORRILLOS,25
SAN ISIDRO,25
SAN JUAN DE MIRAFLORES,20
LURIN,19
SAN MIGUEL,17
LA MOLINA,16
BREÃ‘A,15
SANTA ANITA,15
SURQUILLO,15
INDEPENDENCIA,13
JESUS MARIA,13
RIMAC,13
SAN BORJA,13
PACHACAMAC,12
MAGDALENA DEL MAR,11
SAN LUIS,11
PUEBLO LIBRE,10
EL AGUSTINO,9
CHACLACAYO,8
LINCE,8
ANCON,7
BARRANCO,6
CIENEGUILLA,6
PUCUSANA,6
MAGDALENA VIEJA,2
PUNTA NEGRA,2
SANTA ROSA,2
PUNTA HERMOSA,1
SAN BARTOLO,1
SANTA MARIA DEL MAR,1
